pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
29,mix,Mix_AI_ET ,2,Mix_1AI_2ET 2,ACSA-QURU-QURU,1,QURU,2024-07-13,3.13,3.26,3.2,15.0,,2024-07-25,3.19,3.35,3.3,17.0,2024-08-22,3.41,3.61,3.5,16.0,,,,,0.0,
29,mix,Mix_AI_ET ,2,Mix_1AI_2ET 2,ACSA-QURU-QURU,2,QURU,2024-07-13,3.80,3.94,3.9,20.5,,2024-07-25,3.94,4.15,4.0,21.0,2024-08-22,4.88,4.69,4.8,20.0,,,,,0.0,
29,mix,Mix_AI_ET ,2,Mix_1AI_2ET 2,ACSA-QURU-QURU,3,ACSA,2024-07-13,1.27,1.44,1.4,7.0,,2024-07-25,1.47,1.14,1.3,8.0,2024-08-22,1.65,1.58,1.6,7.5,,,,,0.0,
30,mix,Mix_AI_EI ,2,Mix_2AI_1EI 2,ACSA-ACSA-PIST,1,PIST,2024-07-13,3.77,3.67,3.7,19.0,,2024-07-25,3.88,3.61,3.7,18.5,2024-08-22,3.41,4.35,3.9,16.0,,,,,0.0,
30,mix,Mix_AI_EI ,2,Mix_2AI_1EI 2,ACSA-ACSA-PIST,2,ACSA,2024-07-13,1.25,1.37,1.3,8.5,,2024-07-25,1.71,1.18,1.4,7.5,2024-08-22,1.63,1.70,1.7,9.0,,,,,0.0,
30,mix,Mix_AI_EI ,2,Mix_2AI_1EI 2,ACSA-ACSA-PIST,3,ACSA,2024-07-13,1.26,1.27,1.3,9.0,,2024-07-25,1.23,1.11,1.2,10.0,2024-08-22,1.61,1.67,1.6,9.0,,,,,0.0,
31,mix,EM_ET_EI ,3,EM_1ET_2EI 3,PIST-PIST-QURU,1,PIST,2024-07-13,3.37,3.60,3.5,25.0,,2024-07-25,3.48,3.56,3.5,26.0,2024-08-22,4.06,4.46,4.3,25.5,,,,,0.0,
31,mix,EM_ET_EI ,3,EM_1ET_2EI 3,PIST-PIST-QURU,2,PIST,2024-07-13,3.54,3.20,3.4,16.0,,2024-07-25,3.72,3.33,3.5,16.5,2024-08-22,3.35,3.80,3.6,17.0,,,,,0.0,
31,mix,EM_ET_EI ,3,EM_1ET_2EI 3,PIST-PIST-QURU,3,QURU,2024-07-13,2.36,2.47,2.4,16.0,,2024-07-25,2.44,2.70,2.6,16.0,2024-08-22,3.35,3.57,3.5,20.0,,,,,0.0,
32,mix,Mix_AT_EI ,1,Mix_1AT_2EI 1,PIST-PIST-PRSE,1,PIST,2024-07-13,4.01,4.20,4.1,28.0,,2024-07-25,4.32,4.11,4.2,30.0,2024-08-22,4.65,5.07,4.9,28.0,,,,,0.0,
32,mix,Mix_AT_EI ,1,Mix_1AT_2EI 1,PIST-PIST-PRSE,2,PIST,2024-07-13,3.19,3.50,3.3,15.0,,2024-07-25,3.94,3.26,3.6,16.0,2024-08-22,3.87,4.11,4.0,17.5,,,,,0.0,
32,mix,Mix_AT_EI ,1,Mix_1AT_2EI 1,PIST-PIST-PRSE,3,PRSE,2024-07-13,3.88,3.76,3.8,42.0,,2024-07-25,3.91,3.22,3.6,43.0,2024-08-22,8.04,7.77,7.9,60.0,,,,,0.0,
33,mix,Mix_AT_ET ,5,Mix_2AT_1ET 5,PRSE-PRSE-QURU,1,PRSE,2024-07-13,2.44,2.40,2.4,30.0,,2024-07-25,2.38,2.51,2.4,31.0,2024-08-22,4.88,4.50,4.7,45.5,,,,,0.0,
33,mix,Mix_AT_ET ,5,Mix_2AT_1ET 5,PRSE-PRSE-QURU,2,PRSE,2024-07-13,2.68,2.39,2.5,25.5,,2024-07-25,2.77,2.59,2.7,25.0,2024-08-22,4.39,4.56,4.5,43.0,,,,,0.0,
33,mix,Mix_AT_ET ,5,Mix_2AT_1ET 5,PRSE-PRSE-QURU,3,QURU,2024-07-13,3.37,3.30,3.3,13.0,,2024-07-25,3.40,3.76,3.6,13.5,2024-08-22,4.11,4.14,4.1,20.5,,,,,0.0,
34,mix,Mix_AI_EI ,2,Mix_1AI_2EI 2,ACSA-PIST-PIST,1,PIST,2024-07-13,3.62,3.80,3.7,21.0,,2024-07-25,3.14,3.99,3.6,22.0,2024-08-22,4.45,3.91,4.2,22.5,,,,,0.0,
